log_id,table_name,record_id,action,old_value,new_value,changed_by,changed_at
1,Devices,2851,INSERT,Old value sample -454,New value sample 348,9304,2026-02-08 19:23:59.583
2,Users,6366,UPDATE,Old value sample 447,New value sample -615,5649,2026-02-08 19:23:59.600
3,Users,77,UPDATE,Old value sample -9,New value sample -911,2938,2026-02-08 19:23:59.617
4,Merchants,2978,INSERT,Old value sample 970,New value sample 163,2483,2026-02-08 19:23:59.627
5,Accounts,18563,INSERT,Old value sample 515,New value sample 823,6353,2026-02-08 19:23:59.640
6,Transactions,9727,UPDATE,Old value sample 251,New value sample 339,8975,2026-02-08 19:23:59.650
7,Login_History,11549,DELETE,Old value sample -50,New value sample 746,2307,2026-02-08 19:23:59.663
8,Transactions,3193,UPDATE,Old value sample 576,New value sample 740,5797,2026-02-08 19:23:59.677
9,Transactions,4172,DELETE,Old value sample 870,New value sample 541,4472,2026-02-08 19:23:59.687
10,Login_History,12856,DELETE,Old value sample -484,New value sample -543,6845,2026-02-08 19:23:59.700
11,Fraud_Alerts,623,INSERT,Old value sample 150,New value sample 889,4539,2026-02-08 19:23:59.710
12,Login_History,7238,INSERT,Old value sample -895,New value sample 421,652,2026-02-08 19:23:59.727
13,Users,1648,UPDATE,Old value sample 389,New value sample -923,7021,2026-02-08 19:23:59.737
14,Login_History,9719,INSERT,Old value sample -695,New value sample -660,895,2026-02-08 19:23:59.750
15,Accounts,14406,INSERT,Old value sample -832,New value sample 610,226,2026-02-08 19:23:59.760
16,Users,8441,UPDATE,Old value sample -281,New value sample -798,9301,2026-02-08 19:23:59.767
17,Devices,3563,INSERT,Old value sample -368,New value sample 710,9402,2026-02-08 19:23:59.770
18,Merchants,354,INSERT,Old value sample 834,New value sample 331,6811,2026-02-08 19:23:59.777
19,Merchants,1454,DELETE,Old value sample 910,New value sample -866,8830,2026-02-08 19:23:59.783
20,Devices,2130,INSERT,Old value sample 266,New value sample 528,8900,2026-02-08 19:23:59.790
21,Fraud_Alerts,7787,UPDATE,Old value sample -48,New value sample -272,4725,2026-02-08 19:23:59.797
22,Accounts,14554,INSERT,Old value sample 420,New value sample 186,5849,2026-02-08 19:23:59.803
23,Users,8121,DELETE,Old value sample -109,New value sample 979,6720,2026-02-08 19:23:59.810
24,Devices,2675,DELETE,Old value sample -372,New value sample 715,6561,2026-02-08 19:23:59.817
25,Transactions,4790,UPDATE,Old value sample 745,New value sample -680,6737,2026-02-08 19:23:59.823
26,Login_History,7127,DELETE,Old value sample 789,New value sample 879,1999,2026-02-08 19:23:59.833
27,Users,3686,UPDATE,Old value sample 693,New value sample -22,4269,2026-02-08 19:23:59.840
28,Login_History,13848,INSERT,Old value sample -40,New value sample -253,7302,2026-02-08 19:23:59.850
29,Accounts,19025,UPDATE,Old value sample 960,New value sample -886,8015,2026-02-08 19:23:59.860
30,Transactions,6280,INSERT,Old value sample 434,New value sample 734,4892,2026-02-08 19:23:59.867
31,Transactions,1812,DELETE,Old value sample -211,New value sample -700,9495,2026-02-08 19:23:59.873
32,Merchants,1496,UPDATE,Old value sample 579,New value sample 925,7646,2026-02-08 19:23:59.880
33,Login_History,16271,INSERT,Old value sample 240,New value sample 358,240,2026-02-08 19:23:59.890
34,Devices,4324,UPDATE,Old value sample -941,New value sample -24,6995,2026-02-08 19:23:59.897
35,Users,3282,INSERT,Old value sample 879,New value sample -498,2150,2026-02-08 19:23:59.903
36,Merchants,2804,INSERT,Old value sample -675,New value sample -339,79,2026-02-08 19:23:59.910
37,Accounts,13797,INSERT,Old value sample -548,New value sample -383,418,2026-02-08 19:23:59.920
38,Accounts,20026,UPDATE,Old value sample 587,New value sample -742,3466,2026-02-08 19:23:59.927
39,Fraud_Alerts,3496,DELETE,Old value sample 785,New value sample 463,4292,2026-02-08 19:23:59.933
40,Merchants,2604,UPDATE,Old value sample -661,New value sample -167,8961,2026-02-08 19:23:59.940
41,Devices,4569,INSERT,Old value sample -148,New value sample 984,9321,2026-02-08 19:23:59.947
42,Login_History,7947,UPDATE,Old value sample 705,New value sample -726,1163,2026-02-08 19:23:59.957
43,Transactions,4114,INSERT,Old value sample 506,New value sample 105,660,2026-02-08 19:23:59.967
44,Login_History,5410,DELETE,Old value sample 617,New value sample 211,1259,2026-02-08 19:23:59.980
45,Users,6719,UPDATE,Old value sample 730,New value sample 647,3118,2026-02-08 19:23:59.987
46,Users,9815,DELETE,Old value sample -638,New value sample -430,458,2026-02-08 19:23:59.997
47,Fraud_Alerts,3432,UPDATE,Old value sample -315,New value sample 35,5072,2026-02-08 19:24:00.007
48,Accounts,20895,DELETE,Old value sample 252,New value sample -82,5081,2026-02-08 19:24:00.017
49,Merchants,556,INSERT,Old value sample -341,New value sample 877,7869,2026-02-08 19:24:00.027
50,Merchants,234,INSERT,Old value sample -62,New value sample 152,6009,2026-02-08 19:24:00.037
51,Devices,1200,DELETE,Old value sample -303,New value sample 316,8274,2026-02-08 19:24:00.047
52,Accounts,15416,INSERT,Old value sample 154,New value sample -300,2013,2026-02-08 19:24:00.057
53,Transactions,88,DELETE,Old value sample -146,New value sample -225,6017,2026-02-08 19:24:00.067
54,Login_History,5361,UPDATE,Old value sample 529,New value sample -229,6610,2026-02-08 19:24:00.080
55,Accounts,19166,UPDATE,Old value sample -530,New value sample 159,7392,2026-02-08 19:24:00.090
56,Fraud_Alerts,6237,INSERT,Old value sample 219,New value sample 376,4498,2026-02-08 19:24:00.100
57,Fraud_Alerts,4663,UPDATE,Old value sample 307,New value sample 668,1684,2026-02-08 19:24:00.110
58,Transactions,4094,DELETE,Old value sample -521,New value sample -339,8571,2026-02-08 19:24:00.120
59,Users,8275,INSERT,Old value sample 297,New value sample -420,5672,2026-02-08 19:24:00.130
60,Login_History,4238,INSERT,Old value sample -665,New value sample 338,7018,2026-02-08 19:24:00.143
61,Accounts,23124,DELETE,Old value sample -852,New value sample 36,4341,2026-02-08 19:24:00.153
62,Fraud_Alerts,6381,UPDATE,Old value sample -653,New value sample 882,6037,2026-02-08 19:24:00.163
63,Users,8950,INSERT,Old value sample -178,New value sample -135,6219,2026-02-08 19:24:00.170
64,Login_History,11198,UPDATE,Old value sample -753,New value sample -925,4519,2026-02-08 19:24:00.187
65,Login_History,17592,UPDATE,Old value sample -513,New value sample 170,3892,2026-02-08 19:24:00.200
66,Devices,1837,INSERT,Old value sample 620,New value sample -732,9468,2026-02-08 19:24:00.207
67,Merchants,1128,UPDATE,Old value sample -411,New value sample 219,9869,2026-02-08 19:24:00.213
68,Devices,4107,INSERT,Old value sample -764,New value sample 971,6756,2026-02-08 19:24:00.220
69,Accounts,18563,UPDATE,Old value sample 460,New value sample -426,9421,2026-02-08 19:24:00.230
70,Merchants,249,DELETE,Old value sample 861,New value sample 216,7243,2026-02-08 19:24:00.237
71,Merchants,2430,INSERT,Old value sample 692,New value sample -400,7229,2026-02-08 19:24:00.243
72,Transactions,8049,UPDATE,Old value sample 582,New value sample -630,3938,2026-02-08 19:24:00.253
73,Accounts,17134,UPDATE,Old value sample -65,New value sample 487,449,2026-02-08 19:24:00.263
74,Fraud_Alerts,5140,DELETE,Old value sample 260,New value sample 427,9579,2026-02-08 19:24:00.270
75,Accounts,12776,INSERT,Old value sample 957,New value sample 843,6976,2026-02-08 19:24:00.280
76,Transactions,5698,INSERT,Old value sample -193,New value sample -897,640,2026-02-08 19:24:00.287
77,Devices,1927,INSERT,Old value sample -668,New value sample 557,548,2026-02-08 19:24:00.293
78,Login_History,8008,DELETE,Old value sample 558,New value sample -250,6632,2026-02-08 19:24:00.307
79,Login_History,9320,INSERT,Old value sample 225,New value sample 820,634,2026-02-08 19:24:00.320
80,Merchants,2123,INSERT,Old value sample 458,New value sample -706,4590,2026-02-08 19:24:00.327
81,Accounts,17734,DELETE,Old value sample -280,New value sample 400,3627,2026-02-08 19:24:00.337
82,Login_History,18099,DELETE,Old value sample -234,New value sample 75,6310,2026-02-08 19:24:00.350
83,Users,4598,DELETE,Old value sample 260,New value sample -721,3203,2026-02-08 19:24:00.360
84,Merchants,3615,UPDATE,Old value sample -947,New value sample -866,9060,2026-02-08 19:24:00.370
85,Transactions,4201,UPDATE,Old value sample 936,New value sample 472,9961,2026-02-08 19:24:00.377
86,Transactions,3774,DELETE,Old value sample 537,New value sample -181,661,2026-02-08 19:24:00.387
87,Users,2355,UPDATE,Old value sample 805,New value sample -366,1138,2026-02-08 19:24:00.393
88,Users,842,INSERT,Old value sample -696,New value sample 745,562,2026-02-08 19:24:00.407
89,Merchants,1687,DELETE,Old value sample 713,New value sample -885,3762,2026-02-08 19:24:00.413
90,Login_History,12142,INSERT,Old value sample -889,New value sample -266,6370,2026-02-08 19:24:00.427
91,Fraud_Alerts,4011,INSERT,Old value sample -635,New value sample 276,9269,2026-02-08 19:24:00.433
92,Fraud_Alerts,5036,UPDATE,Old value sample 893,New value sample -808,9788,2026-02-08 19:24:00.443
93,Users,8426,INSERT,Old value sample -599,New value sample 7,8408,2026-02-08 19:24:00.453
94,Users,593,UPDATE,Old value sample 508,New value sample -90,9233,2026-02-08 19:24:00.460
95,Merchants,4324,DELETE,Old value sample -862,New value sample 543,9662,2026-02-08 19:24:00.467
96,Login_History,12829,INSERT,Old value sample -539,New value sample -808,788,2026-02-08 19:24:00.480
97,Merchants,3806,INSERT,Old value sample 699,New value sample 339,8566,2026-02-08 19:24:00.487
98,Fraud_Alerts,7953,INSERT,Old value sample -592,New value sample -166,7990,2026-02-08 19:24:00.493
99,Accounts,1760,UPDATE,Old value sample 913,New value sample 262,1413,2026-02-08 19:24:00.503
100,Login_History,4303,UPDATE,Old value sample 501,New value sample -220,7509,2026-02-08 19:24:00.517
101,Devices,1676,DELETE,Old value sample 574,New value sample 379,7399,2026-02-08 19:24:00.523
102,Login_History,16522,INSERT,Old value sample 170,New value sample 862,8718,2026-02-08 19:24:00.537
103,Transactions,868,UPDATE,Old value sample -440,New value sample -418,3792,2026-02-08 19:24:00.547
104,Accounts,15794,UPDATE,Old value sample 349,New value sample -271,5379,2026-02-08 19:24:00.557
105,Devices,4599,DELETE,Old value sample 858,New value sample -869,4222,2026-02-08 19:24:00.563
106,Fraud_Alerts,3900,INSERT,Old value sample 0,New value sample -515,4991,2026-02-08 19:24:00.573
107,Transactions,230,INSERT,Old value sample -916,New value sample -286,9982,2026-02-08 19:24:00.583
108,Devices,1573,INSERT,Old value sample 475,New value sample -616,9550,2026-02-08 19:24:00.593
109,Devices,3272,INSERT,Old value sample -254,New value sample -297,6272,2026-02-08 19:24:00.600
110,Accounts,20681,UPDATE,Old value sample 135,New value sample -555,2670,2026-02-08 19:24:00.610
111,Login_History,1673,UPDATE,Old value sample 111,New value sample 185,9446,2026-02-08 19:24:00.623
112,Merchants,630,UPDATE,Old value sample -215,New value sample -441,4271,2026-02-08 19:24:00.630
113,Transactions,5962,UPDATE,Old value sample -161,New value sample 800,22,2026-02-08 19:24:00.643
114,Devices,1091,DELETE,Old value sample -47,New value sample 513,7071,2026-02-08 19:24:00.650
115,Fraud_Alerts,1566,DELETE,Old value sample 986,New value sample 46,4817,2026-02-08 19:24:00.660
116,Login_History,5012,INSERT,Old value sample -617,New value sample -945,5721,2026-02-08 19:24:00.677
117,Accounts,19418,UPDATE,Old value sample 662,New value sample 492,512,2026-02-08 19:24:00.683
118,Transactions,3309,INSERT,Old value sample -631,New value sample 436,2542,2026-02-08 19:24:00.693
119,Accounts,22359,DELETE,Old value sample 181,New value sample 223,4728,2026-02-08 19:24:00.707
120,Accounts,15103,DELETE,Old value sample 855,New value sample 19,8826,2026-02-08 19:24:00.717
121,Accounts,14075,DELETE,Old value sample 655,New value sample -296,8676,2026-02-08 19:24:00.727
122,Accounts,15223,DELETE,Old value sample 612,New value sample 644,1939,2026-02-08 19:24:00.737
123,Users,804,UPDATE,Old value sample 15,New value sample -610,6432,2026-02-08 19:24:00.747
124,Transactions,7035,INSERT,Old value sample 745,New value sample -824,4550,2026-02-08 19:24:00.760
125,Transactions,4938,INSERT,Old value sample -686,New value sample -553,6711,2026-02-08 19:24:00.767
126,Accounts,21141,INSERT,Old value sample -960,New value sample 473,2856,2026-02-08 19:24:00.780
127,Devices,3684,INSERT,Old value sample 29,New value sample -163,3415,2026-02-08 19:24:00.783
128,Devices,2917,INSERT,Old value sample -47,New value sample 885,7292,2026-02-08 19:24:00.793
129,Accounts,14493,DELETE,Old value sample -83,New value sample -754,5736,2026-02-08 19:24:00.800
130,Transactions,5051,UPDATE,Old value sample 966,New value sample 392,2453,2026-02-08 19:24:00.810
131,Devices,2189,DELETE,Old value sample 147,New value sample -105,2975,2026-02-08 19:24:00.820
132,Transactions,8372,UPDATE,Old value sample 63,New value sample 158,6016,2026-02-08 19:24:00.827
133,Accounts,20102,UPDATE,Old value sample 302,New value sample -979,8482,2026-02-08 19:24:00.837
134,Merchants,4175,INSERT,Old value sample -582,New value sample 79,2275,2026-02-08 19:24:00.843
135,Transactions,9320,INSERT,Old value sample 621,New value sample 60,2442,2026-02-08 19:24:00.853
136,Merchants,1682,UPDATE,Old value sample 558,New value sample -905,5943,2026-02-08 19:24:00.860
137,Accounts,22681,DELETE,Old value sample 742,New value sample 905,7479,2026-02-08 19:24:00.870
138,Merchants,1517,UPDATE,Old value sample -629,New value sample -885,294,2026-02-08 19:24:00.877
139,Merchants,4001,INSERT,Old value sample -568,New value sample -491,1951,2026-02-08 19:24:00.883
140,Devices,3787,DELETE,Old value sample 605,New value sample -128,4810,2026-02-08 19:24:00.890
141,Login_History,10818,DELETE,Old value sample 614,New value sample 883,7599,2026-02-08 19:24:00.903
142,Accounts,810,INSERT,Old value sample 937,New value sample 771,1768,2026-02-08 19:24:00.917
143,Fraud_Alerts,7798,DELETE,Old value sample -683,New value sample 853,2787,2026-02-08 19:24:00.927
144,Login_History,1979,UPDATE,Old value sample 548,New value sample 225,1785,2026-02-08 19:24:00.940
145,Transactions,8560,DELETE,Old value sample 800,New value sample 91,5888,2026-02-08 19:24:00.950
146,Login_History,12182,DELETE,Old value sample -558,New value sample 394,8222,2026-02-08 19:24:00.970
147,Transactions,287,INSERT,Old value sample -482,New value sample 428,1804,2026-02-08 19:24:00.980
148,Merchants,4067,UPDATE,Old value sample -840,New value sample -624,6369,2026-02-08 19:24:00.987
149,Fraud_Alerts,910,UPDATE,Old value sample 990,New value sample -1,8160,2026-02-08 19:24:00.997
150,Accounts,20894,UPDATE,Old value sample 457,New value sample 574,988,2026-02-08 19:24:01.010
151,Users,8812,UPDATE,Old value sample -852,New value sample 162,9105,2026-02-08 19:24:01.020
152,Login_History,12645,DELETE,Old value sample -490,New value sample -576,1693,2026-02-08 19:24:01.033
153,Fraud_Alerts,2140,INSERT,Old value sample -762,New value sample -702,4820,2026-02-08 19:24:01.040
154,Accounts,16023,DELETE,Old value sample 965,New value sample -380,2559,2026-02-08 19:24:01.050
155,Users,9832,UPDATE,Old value sample -553,New value sample -741,3164,2026-02-08 19:24:01.060
156,Accounts,16779,INSERT,Old value sample -990,New value sample 413,7012,2026-02-08 19:24:01.067
157,Transactions,726,UPDATE,Old value sample 70,New value sample 187,9162,2026-02-08 19:24:01.077
158,Users,9273,UPDATE,Old value sample 598,New value sample 660,8774,2026-02-08 19:24:01.083
159,Devices,3303,INSERT,Old value sample 640,New value sample -751,4064,2026-02-08 19:24:01.090
160,Merchants,2506,INSERT,Old value sample 750,New value sample 463,1270,2026-02-08 19:24:01.097
161,Transactions,6872,UPDATE,Old value sample -553,New value sample 687,2260,2026-02-08 19:24:01.103
162,Users,9265,INSERT,Old value sample -50,New value sample -616,8186,2026-02-08 19:24:01.110
163,Devices,2658,UPDATE,Old value sample 836,New value sample 341,3196,2026-02-08 19:24:01.117
164,Devices,1879,INSERT,Old value sample -158,New value sample -941,3466,2026-02-08 19:24:01.127
165,Login_History,456,UPDATE,Old value sample 695,New value sample 884,2011,2026-02-08 19:24:01.140
166,Login_History,6586,INSERT,Old value sample -973,New value sample 613,5106,2026-02-08 19:24:01.150
167,Fraud_Alerts,4961,INSERT,Old value sample 849,New value sample 822,436,2026-02-08 19:24:01.160
168,Users,8481,UPDATE,Old value sample -306,New value sample 983,3444,2026-02-08 19:24:01.170
169,Users,1752,DELETE,Old value sample 919,New value sample -942,752,2026-02-08 19:24:01.180
170,Merchants,569,INSERT,Old value sample 723,New value sample 308,9567,2026-02-08 19:24:01.187
171,Transactions,9438,DELETE,Old value sample -815,New value sample -295,235,2026-02-08 19:24:01.193
172,Merchants,291,UPDATE,Old value sample -401,New value sample -78,1852,2026-02-08 19:24:01.200
173,Fraud_Alerts,6039,UPDATE,Old value sample 10,New value sample 199,8647,2026-02-08 19:24:01.210
174,Merchants,987,UPDATE,Old value sample -115,New value sample -78,8907,2026-02-08 19:24:01.220
175,Fraud_Alerts,6815,UPDATE,Old value sample -558,New value sample -579,88,2026-02-08 19:24:01.230
176,Users,7523,DELETE,Old value sample 962,New value sample -567,5422,2026-02-08 19:24:01.240
177,Login_History,5580,UPDATE,Old value sample 552,New value sample -766,6613,2026-02-08 19:24:01.253
178,Fraud_Alerts,6354,UPDATE,Old value sample 840,New value sample -351,9332,2026-02-08 19:24:01.260
179,Transactions,8023,DELETE,Old value sample -598,New value sample -34,7846,2026-02-08 19:24:01.270
180,Merchants,2142,UPDATE,Old value sample 670,New value sample -111,7430,2026-02-08 19:24:01.277
181,Transactions,4825,UPDATE,Old value sample 940,New value sample 229,936,2026-02-08 19:24:01.283
182,Devices,3068,DELETE,Old value sample 723,New value sample 608,7327,2026-02-08 19:24:01.290
183,Login_History,12496,DELETE,Old value sample -398,New value sample -623,8979,2026-02-08 19:24:01.300
184,Users,8410,UPDATE,Old value sample -558,New value sample 725,3048,2026-02-08 19:24:01.310
185,Transactions,4869,UPDATE,Old value sample 406,New value sample 646,8937,2026-02-08 19:24:01.317
186,Users,473,DELETE,Old value sample 493,New value sample -203,6359,2026-02-08 19:24:01.323
187,Fraud_Alerts,6508,DELETE,Old value sample -548,New value sample 326,4539,2026-02-08 19:24:01.330
188,Merchants,581,UPDATE,Old value sample 25,New value sample -94,2509,2026-02-08 19:24:01.337
189,Users,5307,INSERT,Old value sample -670,New value sample 403,1198,2026-02-08 19:24:01.343
190,Fraud_Alerts,3294,DELETE,Old value sample -678,New value sample -217,9817,2026-02-08 19:24:01.350
191,Devices,1476,UPDATE,Old value sample 496,New value sample -174,1090,2026-02-08 19:24:01.357
192,Devices,2247,UPDATE,Old value sample -302,New value sample 54,5283,2026-02-08 19:24:01.360
193,Transactions,9224,DELETE,Old value sample 211,New value sample 559,4737,2026-02-08 19:24:01.370
194,Devices,1133,DELETE,Old value sample 145,New value sample -834,5230,2026-02-08 19:24:01.377
195,Devices,392,INSERT,Old value sample 3,New value sample 375,3606,2026-02-08 19:24:01.380
196,Accounts,19505,DELETE,Old value sample -794,New value sample 937,7349,2026-02-08 19:24:01.393
197,Devices,2852,UPDATE,Old value sample 154,New value sample 508,7740,2026-02-08 19:24:01.400
