profile_id,user_id,avg_transaction_amount,avg_daily_transactions,common_country,usual_login_hour,risk_pattern_score,last_updated
1,2911,911.18,0.00,Switzerland,1,86,2026-02-08 19:19:51.973
2,8361,3171.66,1.00,Shqipëri,10,23,2026-02-08 19:19:51.997
3,2561,7419.73,1.00,USA,13,12,2026-02-08 19:19:52.023
4,5079,394.80,0.00,Shqipëri,6,80,2026-02-08 19:19:52.043
5,2723,837.01,0.00,Shqipëri,14,2,2026-02-08 19:19:52.060
6,803,946.23,0.00,UK,23,4,2026-02-08 19:19:52.080
7,1083,472.07,0.00,USA,13,81,2026-02-08 19:19:52.090
8,8666,82.09,0.00,USA,13,72,2026-02-08 19:19:52.103
9,8266,228.33,0.00,UK,3,54,2026-02-08 19:19:52.117
10,6752,225.88,1.00,Kosove,11,53,2026-02-08 19:19:52.143
11,592,680.27,0.00,UK,10,49,2026-02-08 19:19:52.153
12,9726,270.51,0.00,Kosove,23,88,2026-02-08 19:19:52.170
13,9086,4296.80,0.02,Germany,22,42,2026-02-08 19:19:52.190
14,9910,903.58,0.00,USA,21,71,2026-02-08 19:19:52.210
15,6959,5354.51,0.01,USA,21,71,2026-02-08 19:19:52.230
16,5710,634.12,0.00,USA,21,53,2026-02-08 19:19:52.247
17,5856,7840.51,0.01,Shqipëri,14,97,2026-02-08 19:19:52.267
18,4518,2647.21,1.00,UK,0,56,2026-02-08 19:19:52.287
19,2857,551.98,0.00,UK,0,14,2026-02-08 19:19:52.300
20,9460,744.58,0.00,USA,13,28,2026-02-08 19:19:52.320
21,1071,756.09,0.00,Kosove,6,93,2026-02-08 19:19:52.340
22,2936,8859.68,1.00,Shqipëri,11,10,2026-02-08 19:19:52.360
23,4161,549.24,0.00,USA,12,16,2026-02-08 19:19:52.380
24,5354,384.83,0.00,Germany,8,3,2026-02-08 19:19:52.393
25,1349,500.78,0.00,Shqipëri,2,73,2026-02-08 19:19:52.403
26,893,5704.84,0.01,USA,16,14,2026-02-08 19:19:52.423
27,8333,773.55,0.00,USA,16,61,2026-02-08 19:19:52.443
28,1530,718.42,0.00,USA,5,92,2026-02-08 19:19:52.457
29,1634,114.30,0.00,USA,5,29,2026-02-08 19:19:52.470
30,673,6057.90,0.02,USA,5,36,2026-02-08 19:19:52.490
31,4223,9188.93,1.00,Kosove,8,7,2026-02-08 19:19:52.510
32,6464,3485.17,1.00,Shqipëri,12,22,2026-02-08 19:19:52.530
33,9051,135.36,0.00,UK,12,85,2026-02-08 19:19:52.547
34,884,186.93,0.00,Shqipëri,4,61,2026-02-08 19:19:52.560
35,5844,373.52,0.00,Shqipëri,4,27,2026-02-08 19:19:52.573
36,5556,845.58,0.00,UK,8,34,2026-02-08 19:19:52.590
37,3402,607.67,0.00,UK,2,27,2026-02-08 19:19:52.607
38,3032,146.60,0.00,UK,2,68,2026-02-08 19:19:52.620
39,2039,137.21,0.00,USA,7,88,2026-02-08 19:19:52.633
40,5655,5443.86,0.01,UK,12,93,2026-02-08 19:19:52.650
41,7094,699.88,0.00,USA,0,73,2026-02-08 19:19:52.670
42,862,7402.87,0.03,Germany,2,71,2026-02-08 19:19:52.690
43,1713,424.41,0.00,USA,22,12,2026-02-08 19:19:52.700
44,972,3700.89,0.01,Germany,22,98,2026-02-08 19:19:52.720
45,5515,257.06,0.00,USA,5,87,2026-02-08 19:19:52.737
46,1198,595.82,0.00,USA,18,0,2026-02-08 19:19:52.753
47,6819,200.30,0.00,USA,18,68,2026-02-08 19:19:52.763
48,3467,954.69,1.00,USA,6,78,2026-02-08 19:19:52.783
49,1400,910.70,0.00,Kosove,20,15,2026-02-08 19:19:52.797
50,7441,830.08,0.00,USA,22,2,2026-02-08 19:19:52.813
51,4523,6291.01,0.01,Germany,2,99,2026-02-08 19:19:52.830
52,5990,899.88,0.00,Shqipëri,0,69,2026-02-08 19:19:52.843
53,9836,53.65,0.00,Shqipëri,1,63,2026-02-08 19:19:52.853
54,9764,975.77,0.00,UK,7,99,2026-02-08 19:19:52.867
55,5368,4266.64,0.01,USA,15,76,2026-02-08 19:19:52.883
56,2588,4440.08,0.07,Shqipëri,10,88,2026-02-08 19:19:52.900
57,3740,158.63,0.00,UK,7,47,2026-02-08 19:19:52.913
58,3887,5200.28,0.01,Shqipëri,20,67,2026-02-08 19:19:52.930
59,5196,984.51,0.00,Shqipëri,6,51,2026-02-08 19:19:52.947
60,9272,5901.84,0.01,Kosove,10,34,2026-02-08 19:19:52.960
61,6585,265.50,0.00,USA,18,76,2026-02-08 19:19:52.970
62,845,6271.82,0.01,Shqipëri,15,81,2026-02-08 19:19:52.983
63,7095,101.88,0.00,USA,5,68,2026-02-08 19:19:52.993
64,380,878.51,0.00,Shqipëri,18,37,2026-02-08 19:19:53.007
65,5595,789.54,0.00,USA,1,21,2026-02-08 19:19:53.020
66,7807,5584.45,1.00,Kosove,0,58,2026-02-08 19:19:53.037
67,6347,2823.27,0.00,USA,0,54,2026-02-08 19:19:53.050
68,4279,3772.49,0.01,Kosove,4,73,2026-02-08 19:19:53.063
69,2288,4379.31,1.00,USA,16,11,2026-02-08 19:19:53.080
70,529,1355.87,1.00,USA,12,30,2026-02-08 19:19:53.090
71,7817,744.96,0.00,Kosove,20,69,2026-02-08 19:19:53.107
72,6286,762.98,0.00,Shqipëri,20,83,2026-02-08 19:19:53.120
73,7503,8206.54,1.00,USA,20,64,2026-02-08 19:19:53.133
74,6528,3591.31,0.01,USA,17,79,2026-02-08 19:19:53.147
75,9357,5976.94,0.01,USA,23,23,2026-02-08 19:19:53.160
76,1066,2122.58,1.00,Kosove,22,37,2026-02-08 19:19:53.177
77,1783,4235.13,1.00,Kosove,12,19,2026-02-08 19:19:53.190
78,5691,154.31,0.00,USA,22,76,2026-02-08 19:19:53.203
79,5353,6085.94,0.01,USA,0,80,2026-02-08 19:19:53.220
