device_id,user_id,device_fingerprint,os,browser,first_seen,last_seen,trusted
1,1005,DEV-1134589801-1,macOS,Safari,2025-04-17 18:51:41.050,2025-04-24 18:51:41.050,1
2,4647,DEV-1706653254-2,Android,Chrome,2025-10-07 18:51:41.063,2025-11-05 18:51:41.063,0
3,2827,DEV-1710603883-3,Android,Edge,2026-01-17 18:51:41.073,2026-01-18 18:51:41.073,1
4,8553,DEV-908704075-4,macOS,Safari,2025-11-17 18:51:41.080,2025-12-14 18:51:41.080,0
5,5971,DEV-519981993-5,Linux,Opera,2024-11-01 18:51:41.090,2024-11-15 18:51:41.090,0
6,3263,DEV-1274945990-6,Windows 10,Edge,2025-04-25 18:51:41.100,2025-05-02 18:51:41.100,0
7,3680,DEV-686489755-7,Android,Opera,2024-05-06 18:51:41.107,2024-05-18 18:51:41.107,1
8,8107,DEV-1752315576-8,Android,Firefox,2024-04-22 18:51:41.117,2024-05-13 18:51:41.117,1
9,319,DEV-1189477063-9,macOS,Opera,2025-05-09 18:51:41.123,2025-05-14 18:51:41.123,1
10,1692,DEV-1765687170-10,Linux,Chrome,2024-10-12 18:51:41.130,2024-11-07 18:51:41.130,1
11,5809,DEV-378401352-11,Android,Chrome,2025-01-26 18:51:41.140,2025-02-01 18:51:41.140,1
12,4584,DEV-1854060184-12,Windows 11,Safari,2025-11-24 18:51:41.150,2025-12-09 18:51:41.150,1
13,8875,DEV-1817905603-13,Linux,Opera,2024-03-05 18:51:41.160,2024-03-18 18:51:41.160,0
14,4264,DEV-1098901202-14,Windows 11,Safari,2025-01-20 18:51:41.167,2025-01-26 18:51:41.167,0
15,8297,DEV-1446333467-15,macOS,Opera,2024-12-20 18:51:41.180,2025-01-03 18:51:41.180,1
16,782,DEV-238271061-16,Windows 10,Edge,2024-03-25 18:51:41.190,2024-04-03 18:51:41.190,1
17,2949,DEV-715155340-17,Linux,Edge,2025-12-04 18:51:41.197,2025-12-09 18:51:41.197,0
18,2089,DEV-1098642145-18,macOS,Chrome,2025-12-30 18:51:41.207,2026-01-19 18:51:41.207,0
19,4244,DEV-1456166948-19,iOS,Edge,2024-05-14 18:51:41.213,2024-05-15 18:51:41.213,1
20,531,DEV-363449940-20,Windows 11,Opera,2025-03-18 18:51:41.220,2025-04-15 18:51:41.220,0
21,6494,DEV-323143846-21,macOS,Chrome,2024-10-19 18:51:41.223,2024-11-16 18:51:41.223,1
22,7760,DEV-124511072-22,Windows 10,Firefox,2025-11-03 18:51:41.233,2025-11-14 18:51:41.233,0
23,6573,DEV-112591620-23,Windows 11,Firefox,2025-07-09 18:51:41.237,2025-07-18 18:51:41.237,1
24,5076,DEV-1397336913-24,iOS,Chrome,2024-05-08 18:51:41.243,2024-05-18 18:51:41.243,0
25,2849,DEV-1506778518-25,Windows 11,Chrome,2025-10-11 18:51:41.247,2025-10-24 18:51:41.247,1
26,1290,DEV-1718711632-26,Windows 11,Chrome,2025-12-24 18:51:41.250,2026-01-17 18:51:41.250,1
27,3792,DEV-186800741-27,Android,Safari,2025-05-29 18:51:41.253,2025-06-17 18:51:41.253,1
28,5076,DEV-1881049553-28,Android,Edge,2025-01-14 18:51:41.260,2025-01-15 18:51:41.260,0
29,6590,DEV-1516930681-29,iOS,Firefox,2024-04-24 18:51:41.260,2024-04-29 18:51:41.260,1
30,1998,DEV-1281356382-30,iOS,Opera,2025-06-28 18:51:41.270,2025-07-04 18:51:41.270,0
31,759,DEV-1406994993-31,Windows 11,Edge,2024-04-27 18:51:41.277,2024-05-13 18:51:41.277,0
32,2052,DEV-522859392-32,macOS,Opera,2024-07-14 18:51:41.280,2024-08-10 18:51:41.280,1
33,1271,DEV-1822697889-33,iOS,Edge,2025-10-23 18:51:41.283,2025-11-18 18:51:41.283,1
34,6444,DEV-1879288454-34,Android,Safari,2025-12-29 18:51:41.290,2026-01-21 18:51:41.290,1
35,2995,DEV-1558645263-35,Linux,Safari,2024-02-23 18:51:41.290,2024-03-19 18:51:41.290,0
36,7274,DEV-1902099103-36,Linux,Opera,2025-12-13 18:51:41.297,2026-01-05 18:51:41.297,0
37,2388,DEV-531838117-37,macOS,Edge,2025-04-09 18:51:41.300,2025-04-22 18:51:41.300,1
38,5812,DEV-1706300661-38,Android,Safari,2025-01-08 18:51:41.307,2025-01-26 18:51:41.307,0
39,3512,DEV-2100292758-39,Linux,Opera,2025-03-18 18:51:41.310,2025-04-09 18:51:41.310,1
40,6753,DEV-1738078879-40,iOS,Opera,2024-10-18 18:51:41.317,2024-11-07 18:51:41.317,1
41,2873,DEV-199814284-41,macOS,Opera,2025-01-26 18:51:41.323,2025-02-14 18:51:41.323,1
42,2164,DEV-1836097028-42,macOS,Chrome,2024-08-20 18:51:41.327,2024-09-05 18:51:41.327,1
43,368,DEV-915889196-43,iOS,Edge,2025-07-22 18:51:41.333,2025-07-30 18:51:41.333,0
44,911,DEV-685928653-44,Android,Opera,2025-01-27 18:51:41.340,2025-02-03 18:51:41.340,1
45,1217,DEV-1649521140-45,Android,Chrome,2024-02-28 18:51:41.347,2024-03-17 18:51:41.347,0
46,6058,DEV-1579534758-46,Windows 11,Safari,2025-06-13 18:51:41.353,2025-06-18 18:51:41.353,1
47,5726,DEV-890820340-47,macOS,Edge,2024-08-30 18:51:41.357,2024-09-22 18:51:41.357,1
48,5365,DEV-1689163006-48,Windows 10,Safari,2024-06-22 18:51:41.363,2024-07-15 18:51:41.363,1
49,7609,DEV-1547551126-49,iOS,Safari,2024-03-08 18:51:41.367,2024-04-04 18:51:41.367,1
50,8374,DEV-1682141163-50,macOS,Edge,2025-01-01 18:51:41.370,2025-01-13 18:51:41.370,1
51,4862,DEV-1362523437-51,macOS,Firefox,2024-07-12 18:51:41.377,2024-07-13 18:51:41.377,0
52,2630,DEV-263681177-52,Android,Opera,2024-09-23 18:51:41.380,2024-10-22 18:51:41.380,0
53,4505,DEV-1980304910-53,Windows 11,Safari,2024-10-16 18:51:41.387,2024-10-24 18:51:41.387,1
54,4519,DEV-1546460393-54,Windows 10,Firefox,2025-10-02 18:51:41.390,2025-10-04 18:51:41.390,0
55,8338,DEV-2069165252-55,macOS,Firefox,2025-06-11 18:51:41.393,2025-06-21 18:51:41.393,1
56,852,DEV-1826067784-56,Linux,Edge,2025-09-07 18:51:41.400,2025-09-12 18:51:41.400,0
57,8935,DEV-886401049-57,Windows 10,Edge,2025-07-27 18:51:41.407,2025-08-19 18:51:41.407,1
