alert_id,transaction_id,rule_id,risk_score,severity,created_at,resolved,analyst_id
1,733,6767,19,MEDIUM,2025-06-14 20:00:41.380,0,NULL
2,9623,2766,58,LOW,2025-08-27 15:51:41.393,1,NULL
3,1796,965,1,MEDIUM,2025-03-30 22:15:41.420,0,964
4,8063,8938,72,MEDIUM,2025-07-20 07:48:41.437,1,NULL
5,9393,2536,53,LOW,2024-12-21 17:42:41.450,0,NULL
6,1911,8237,42,HIGH,2025-06-29 05:28:41.463,1,NULL
7,5994,360,87,MEDIUM,2024-07-15 07:53:41.480,0,NULL
8,4931,5039,95,LOW,2024-05-14 21:50:41.500,0,6227
9,4400,8091,54,LOW,2024-11-24 04:43:41.517,0,NULL
10,3777,1059,68,MEDIUM,2025-02-16 09:36:41.527,0,NULL
11,7983,7444,29,CRITICAL,2025-05-18 14:44:41.537,0,NULL
12,6269,304,12,HIGH,2025-05-19 03:36:41.547,0,NULL
13,4961,5378,45,CRITICAL,2025-01-13 20:04:41.553,1,NULL
14,337,4022,28,HIGH,2024-05-08 02:22:41.567,1,2881
15,4173,6350,49,MEDIUM,2024-03-31 10:34:41.573,0,NULL
16,7041,3134,5,MEDIUM,2025-05-06 22:19:41.583,0,NULL
17,9004,8302,58,HIGH,2025-07-03 16:09:41.590,1,NULL
18,4021,5949,51,LOW,2025-08-03 08:17:41.600,0,NULL
19,8566,4160,48,LOW,2025-04-10 13:22:41.613,1,9255
20,4793,2056,14,HIGH,2025-10-01 15:36:41.620,0,NULL
21,6971,5657,29,LOW,2024-03-28 01:28:41.630,0,NULL
22,1767,1961,28,HIGH,2025-09-27 06:31:41.640,0,NULL
23,2766,4229,58,MEDIUM,2025-10-30 19:56:41.647,1,NULL
24,5220,4359,48,CRITICAL,2024-10-31 16:57:41.657,0,NULL
25,5468,2763,74,CRITICAL,2025-10-31 07:42:41.663,0,NULL
26,4028,7490,18,CRITICAL,2025-03-03 23:26:41.673,1,NULL
27,6983,3548,51,MEDIUM,2024-12-10 17:35:41.680,1,NULL
