rule_id,rule_name,description,threshold_value,weight,active
1,Rule_1,Fraud detection rule for pattern 375,5363.31,4,1
2,Rule_2,Fraud detection rule for pattern 579,2500.60,5,1
3,Rule_3,Fraud detection rule for pattern 201,8535.13,2,0
4,Rule_4,Fraud detection rule for pattern 239,8541.26,3,1
5,Rule_5,Fraud detection rule for pattern 667,3833.64,3,1
6,Rule_6,Fraud detection rule for pattern 949,8803.07,1,1
7,Rule_7,Fraud detection rule for pattern 633,1404.67,2,1
8,Rule_8,Fraud detection rule for pattern 663,1746.52,3,1
9,Rule_9,Fraud detection rule for pattern 976,4413.45,5,1
10,Rule_10,Fraud detection rule for pattern 804,7224.70,3,1
11,Rule_11,Fraud detection rule for pattern 330,4252.30,4,1
12,Rule_12,Fraud detection rule for pattern 823,8381.51,3,1
13,Rule_13,Fraud detection rule for pattern 237,8982.57,5,1
14,Rule_14,Fraud detection rule for pattern 866,4059.07,1,1
15,Rule_15,Fraud detection rule for pattern 801,1059.22,5,1
16,Rule_16,Fraud detection rule for pattern 764,1681.28,3,1
17,Rule_17,Fraud detection rule for pattern 92,9036.47,5,1
18,Rule_18,Fraud detection rule for pattern 682,2163.95,1,1
19,Rule_19,Fraud detection rule for pattern 763,6580.84,4,1
20,Rule_20,Fraud detection rule for pattern 151,5681.57,5,1
21,Rule_21,Fraud detection rule for pattern 13,461.19,3,1
22,Rule_22,Fraud detection rule for pattern 243,8291.13,5,1
23,Rule_23,Fraud detection rule for pattern 533,2958.35,4,0
24,Rule_24,Fraud detection rule for pattern 989,4483.74,1,1
25,Rule_25,Fraud detection rule for pattern 594,2341.87,1,0
26,Rule_26,Fraud detection rule for pattern 14,9427.31,2,1
27,Rule_27,Fraud detection rule for pattern 821,7698.45,4,1
28,Rule_28,Fraud detection rule for pattern 958,8265.30,4,1
29,Rule_29,Fraud detection rule for pattern 993,4662.68,4,1
30,Rule_30,Fraud detection rule for pattern 958,3631.16,4,1
31,Rule_31,Fraud detection rule for pattern 861,7672.22,4,1
32,Rule_32,Fraud detection rule for pattern 277,8961.57,1,1
33,Rule_33,Fraud detection rule for pattern 569,2285.53,1,1
34,Rule_34,Fraud detection rule for pattern 940,9038.84,5,0
35,Rule_35,Fraud detection rule for pattern 866,2023.20,2,1
36,Rule_36,Fraud detection rule for pattern 237,3171.56,2,1
37,Rule_37,Fraud detection rule for pattern 797,857.30,5,1
38,Rule_38,Fraud detection rule for pattern 300,6649.14,4,1
39,Rule_39,Fraud detection rule for pattern 549,2233.70,2,1
40,Rule_40,Fraud detection rule for pattern 362,7824.90,4,1
41,Rule_41,Fraud detection rule for pattern 271,2569.42,2,1
42,Rule_42,Fraud detection rule for pattern 438,4962.86,5,1
43,Rule_43,Fraud detection rule for pattern 731,7233.85,5,1
44,Rule_44,Fraud detection rule for pattern 74,8857.73,2,1
45,Rule_45,Fraud detection rule for pattern 252,1082.20,5,1
46,Rule_46,Fraud detection rule for pattern 712,6127.48,1,1
47,Rule_47,Fraud detection rule for pattern 212,5224.30,1,1
48,Rule_48,Fraud detection rule for pattern 755,9235.25,2,1
49,Rule_49,Fraud detection rule for pattern 105,1904.07,2,1
50,Rule_50,Fraud detection rule for pattern 33,116.72,3,1
51,Rule_51,Fraud detection rule for pattern 491,8592.72,5,1
52,Rule_52,Fraud detection rule for pattern 498,4119.59,1,1
