login_id,user_id,device_id,ip_address,geo_lat,geo_long,country,city,login_time,success
1,9690,NULL,30.175.95.31,-53.854189,33.908521,UK,Manchester,2024-08-09 02:34:38.317,1
2,7269,NULL,92.157.251.72,59.212324,46.090091,Shqipëri,Vlore,2025-11-05 19:13:38.323,1
3,2220,NULL,30.2.199.190,-15.646586,-6.183631,Germany,Hamburg,2025-12-20 03:12:38.330,1
4,9122,NULL,92.21.176.232,-19.668447,-3.406192,Kosove,Gjakove,2024-09-16 14:32:38.337,0
5,9852,NULL,245.143.139.160,-2.254500,-173.952118,Kosove,Prishtine,2025-05-04 11:08:38.343,1
6,3329,3481,228.171.5.120,-19.278922,127.684539,Germany,Munich,2024-03-17 04:28:38.347,1
7,9292,3481,69.174.51.173,51.482500,20.394167,USA,Los Angeles,2024-09-16 02:06:38.350,1
8,5217,2350,162.137.103.80,-46.099189,166.398582,Kosove,Peje,2024-04-24 11:14:38.357,1
9,9761,NULL,51.217.118.94,-70.887494,-6.368418,UK,Manchester,2025-11-17 19:05:38.363,1
10,4504,1450,254.144.126.131,85.166467,115.149668,USA,New York,2026-02-05 14:38:38.370,1
11,110,NULL,185.158.216.100,19.604440,-16.588825,Shqipëri,Tirane,2025-04-26 10:39:38.373,0
12,7761,NULL,123.148.163.67,-45.161928,148.919266,Kosove,Gjakove,2025-02-11 08:54:38.380,1
13,2095,NULL,71.147.161.114,-15.509925,-129.541897,UK,London,2024-06-06 16:19:38.387,1
14,2156,454,147.215.232.94,53.284736,-104.601698,Germany,Hamburg,2024-10-09 16:09:38.390,1
15,2571,448,96.222.111.123,66.806627,-128.476508,Shqipëri,Vlore,2025-11-21 04:44:38.397,1
16,8728,1606,239.236.154.140,-47.125073,107.865593,USA,Los Angeles,2025-10-05 01:51:38.397,1
17,4138,1606,231.180.245.103,26.753072,-158.698674,USA,New York,2024-06-14 14:51:38.403,1
18,5993,1606,192.138.186.25,-72.954689,124.657446,Kosove,Peje,2025-11-03 09:01:38.407,1
19,433,1243,14.92.181.14,43.819285,-15.835538,UK,London,2025-06-26 05:14:38.410,1
20,7414,NULL,106.240.226.122,-61.983601,-156.838576,UK,Liverpool,2025-06-29 16:19:38.413,1
