merchant_id,merchant_name,category,country,risk_score,created_at
1,Merchant_845750859_1,Education,Italy,26,2024-01-23 18:56:58.287
2,Merchant_214968273_2,Sports,Kosove,83,2025-06-13 18:56:58.287
3,Merchant_191216077_3,Restaurants,France,13,2025-03-16 18:56:58.290
4,Merchant_621899713_4,Automotive,USA,2,2023-07-03 18:56:58.290
5,Merchant_877928916_5,Travel,Kosove,48,2025-07-11 18:56:58.293
6,Merchant_1634374278_6,Restaurants,Germany,80,2024-07-29 18:56:58.293
7,Merchant_1828316756_7,Travel,France,82,2023-11-14 18:56:58.293
8,Merchant_1992032171_8,Beauty,Spain,79,2026-02-05 18:56:58.297
9,Merchant_852528102_9,Restaurants,Germany,45,2024-12-09 18:56:58.297
10,Merchant_1412970603_10,Electronics,Germany,74,2025-07-09 18:56:58.297
11,Merchant_15796710_11,Furniture,Spain,31,2024-06-17 18:56:58.300
12,Merchant_1683354532_12,Electronics,UK,14,2023-12-22 18:56:58.300
13,Merchant_1392190734_13,Restaurants,Spain,50,2025-01-29 18:56:58.300
14,Merchant_982482646_14,Electronics,France,14,2025-09-23 18:56:58.300
15,Merchant_386394033_15,Healthcare,Switzerland,18,2024-12-27 18:56:58.300
16,Merchant_219812230_16,Entertainment,Germany,67,2023-10-15 18:56:58.303
17,Merchant_1673001750_17,Beauty,Shqipëri,96,2023-04-03 18:56:58.307
18,Merchant_402388562_18,Groceries,Netherlands,62,2025-06-04 18:56:58.307
19,Merchant_1957194285_19,Automotive,Netherlands,39,2025-01-28 18:56:58.310
20,Merchant_280508061_20,Sports,Switzerland,12,2024-11-06 18:56:58.310
21,Merchant_1536109837_21,Travel,Germany,12,2023-12-20 18:56:58.310
22,Merchant_534515885_22,Automotive,Kosove,59,2025-04-05 18:56:58.310
23,Merchant_1562240402_23,Healthcare,Spain,45,2025-12-07 18:56:58.310
24,Merchant_10542040_24,Restaurants,USA,95,2024-02-29 18:56:58.313
25,Merchant_2139430486_25,Beauty,France,89,2024-06-03 18:56:58.313
26,Merchant_1814287228_26,Sports,Shqipëri,34,2025-11-04 18:56:58.313
27,Merchant_195440898_27,Electronics,Germany,8,2024-05-09 18:56:58.313
28,Merchant_377440646_28,Clothing,Switzerland,10,2023-10-24 18:56:58.317
29,Merchant_1240999350_29,Groceries,Switzerland,65,2023-08-28 18:56:58.317
30,Merchant_757284468_30,Healthcare,Netherlands,72,2025-07-22 18:56:58.317
31,Merchant_1055489156_31,Furniture,USA,12,2024-10-30 18:56:58.320
32,Merchant_1657003848_32,Groceries,Germany,50,2025-04-30 18:56:58.320
33,Merchant_171624276_33,Healthcare,Netherlands,0,2023-10-30 18:56:58.323
34,Merchant_1431596320_34,Clothing,Italy,66,2025-04-26 18:56:58.323
35,Merchant_68507372_35,Travel,Spain,55,2023-08-31 18:56:58.323
36,Merchant_2125710624_36,Electronics,USA,42,2023-03-18 18:56:58.327
37,Merchant_235130559_37,Groceries,Switzerland,93,2025-02-16 18:56:58.327
38,Merchant_994086353_38,Electronics,USA,67,2023-05-21 18:56:58.327
39,Merchant_502544370_39,Electronics,Kosove,34,2023-10-03 18:56:58.327
40,Merchant_1293779515_40,Groceries,France,49,2024-03-11 18:56:58.330
41,Merchant_822263339_41,Travel,Shqipëri,93,2025-07-18 18:56:58.330
42,Merchant_187254362_42,Electronics,Germany,59,2024-02-28 18:56:58.330
43,Merchant_1317752704_43,Automotive,France,61,2023-10-29 18:56:58.330
44,Merchant_1916782482_44,Sports,Shqipëri,45,2023-04-21 18:56:58.330
45,Merchant_1022650714_45,Furniture,France,66,2024-02-15 18:56:58.333
46,Merchant_643232542_46,Automotive,USA,29,2024-05-13 18:56:58.333
47,Merchant_2094127149_47,Education,Spain,0,2023-09-04 18:56:58.333
48,Merchant_601088114_48,Entertainment,Switzerland,99,2025-09-25 18:56:58.333
49,Merchant_936290870_49,Restaurants,Switzerland,13,2024-11-07 18:56:58.337
50,Merchant_95376962_50,Automotive,USA,59,2024-10-27 18:56:58.337
51,Merchant_821924472_51,Entertainment,Spain,43,2024-10-17 18:56:58.337
52,Merchant_1136861002_52,Restaurants,Germany,4,2025-10-15 18:56:58.340
53,Merchant_589336265_53,Groceries,Shqipëri,45,2023-08-04 18:56:58.340
54,Merchant_1624563176_54,Clothing,UK,68,2025-06-02 18:56:58.340
55,Merchant_191134295_55,Automotive,Italy,48,2024-03-28 18:56:58.340
56,Merchant_785592742_56,Groceries,Switzerland,79,2026-01-17 18:56:58.340
57,Merchant_1220853865_57,Entertainment,Italy,43,2023-09-01 18:56:58.343
58,Merchant_1160183060_58,Groceries,Shqipëri,28,2025-01-30 18:56:58.343
59,Merchant_151038272_59,Travel,Germany,40,2024-04-26 18:56:58.343
60,Merchant_423039943_60,Sports,USA,30,2025-08-31 18:56:58.343
61,Merchant_467266508_61,Travel,Switzerland,27,2025-10-27 18:56:58.347
62,Merchant_887566264_62,Furniture,Italy,97,2024-06-24 18:56:58.347
63,Merchant_14754035_63,Groceries,Netherlands,54,2024-09-08 18:56:58.347
64,Merchant_213707560_64,Sports,Italy,79,2025-08-30 18:56:58.347
65,Merchant_35788407_65,Electronics,Netherlands,85,2025-09-05 18:56:58.347
66,Merchant_1166498588_66,Travel,Netherlands,65,2025-12-15 18:56:58.350
67,Merchant_513487128_67,Beauty,Italy,88,2025-10-07 18:56:58.350
68,Merchant_1658219581_68,Clothing,Italy,94,2025-07-21 18:56:58.350
69,Merchant_204068955_69,Entertainment,UK,68,2023-03-21 18:56:58.350
70,Merchant_2095262022_70,Healthcare,France,97,2024-02-08 18:56:58.350
71,Merchant_1542745717_71,Furniture,Italy,84,2023-07-20 18:56:58.350
72,Merchant_80338733_72,Education,Switzerland,25,2023-08-06 18:56:58.350
73,Merchant_1552393391_73,Clothing,UK,71,2024-04-07 18:56:58.353
74,Merchant_494915030_74,Furniture,UK,13,2024-02-03 18:56:58.353
75,Merchant_1816994615_75,Clothing,Germany,100,2024-09-30 18:56:58.357
76,Merchant_17038869_76,Entertainment,Shqipëri,69,2024-05-21 18:56:58.357
77,Merchant_332285061_77,Education,France,11,2025-04-29 18:56:58.357
78,Merchant_520694018_78,Education,USA,9,2023-04-06 18:56:58.357
79,Merchant_146417324_79,Beauty,Switzerland,30,2024-05-15 18:56:58.360
80,Merchant_1317149567_80,Entertainment,Italy,14,2024-10-26 18:56:58.360
81,Merchant_767500963_81,Sports,Spain,42,2024-04-03 18:56:58.360
82,Merchant_1024439797_82,Sports,Switzerland,52,2023-09-04 18:56:58.360
83,Merchant_347580270_83,Sports,USA,75,2023-07-22 18:56:58.360
84,Merchant_116611762_84,Sports,Switzerland,80,2024-08-05 18:56:58.360
85,Merchant_834841110_85,Restaurants,USA,46,2024-03-04 18:56:58.363
86,Merchant_881738287_86,Groceries,UK,67,2024-09-11 18:56:58.363
87,Merchant_1231528889_87,Sports,Netherlands,45,2025-12-05 18:56:58.363
88,Merchant_1436525448_88,Sports,Italy,98,2025-04-24 18:56:58.363
89,Merchant_650385218_89,Restaurants,Italy,38,2023-03-18 18:56:58.363
90,Merchant_280266111_90,Education,Italy,78,2025-01-03 18:56:58.367
91,Merchant_1688549448_91,Education,Netherlands,42,2025-03-14 18:56:58.367
92,Merchant_244022647_92,Restaurants,Switzerland,47,2024-02-25 18:56:58.367
