transaction_id,account_id,merchant_id,device_id,amount,currency,transaction_type,geo_location,ip_address,transaction_time,status,risk_score,ml_score
1,19147,1842,873,9451.45,USD,PAYMENT,"45.619517, 175.646006",104.76.145.67,2024-05-13 08:38:45.833,SUCCESS,47,0.91
2,18120,253,4248,9032.82,USD,TRANSFER,"61.469139, 58.921589",36.175.24.224,2024-06-08 03:50:45.850,SUCCESS,85,0.79
3,16429,896,289,7408.97,CHF,WITHDRAWAL,"-17.516793, 65.402029",177.127.242.232,2024-09-04 22:10:45.860,SUCCESS,31,0.52
4,20089,2709,NULL,3622.80,EUR,DEPOSIT,"25.845380, 28.518179",141.95.116.176,2025-10-18 03:05:45.877,SUCCESS,58,0.24
5,19508,2866,4120,9285.16,GBP,DEPOSIT,"32.170607, 17.059108",34.10.202.12,2024-03-18 22:58:45.893,SUCCESS,66,0.11
6,16915,108,NULL,3392.52,EUR,PAYMENT,"46.857310, -6.842712",11.253.24.41,2025-02-08 08:26:45.910,SUCCESS,67,0.74
7,14457,1200,4071,8164.99,USD,PAYMENT,"27.271921, 116.849348",62.75.35.99,2024-07-14 12:05:45.927,SUCCESS,76,0.88
8,16345,1550,NULL,9889.74,USD,WITHDRAWAL,"70.025643, -135.670365",250.228.211.115,2025-06-26 05:55:45.943,SUCCESS,65,0.48
9,20710,4560,4194,390.22,CHF,WITHDRAWAL,"-71.900510, 82.952354",243.187.130.220,2026-01-10 12:33:45.957,SUCCESS,71,0.22
10,3218,2968,3663,8715.42,CHF,WITHDRAWAL,"-42.920812, -66.464045",166.93.189.225,2025-08-04 20:43:45.970,SUCCESS,71,0.32
11,21359,4957,NULL,882.05,EUR,PAYMENT,"69.381345, -156.434764",182.232.100.229,2025-05-09 05:30:45.983,SUCCESS,6,0.26
12,20192,1806,941,3612.62,EUR,DEPOSIT,"-58.573881, 21.349465",162.208.66.215,2025-10-05 14:57:45.997,FAILED,55,0.65
13,18504,2152,NULL,3191.20,GBP,PAYMENT,"-25.654504, 71.409266",113.221.166.220,2024-05-21 12:48:46.017,SUCCESS,81,0.62
14,324,955,NULL,8241.55,GBP,PAYMENT,"-9.817724, -57.519723",35.130.155.196,2025-09-03 20:47:46.030,SUCCESS,32,0.64
15,23348,563,NULL,840.98,GBP,DEPOSIT,"78.297595, 129.680287",88.79.117.189,2024-04-05 00:28:46.043,SUCCESS,90,0.40
16,23382,860,NULL,4324.54,EUR,PAYMENT,"-86.389233, -167.740432",248.91.47.59,2024-11-10 23:38:46.060,SUCCESS,43,0.11
17,16440,557,23,6388.96,CHF,TRANSFER,"-33.624561, -147.272230",207.85.180.16,2024-09-02 10:48:46.070,SUCCESS,62,0.97
18,19185,2563,NULL,7381.99,GBP,WITHDRAWAL,"-30.486059, 51.808260",227.110.248.11,2025-06-06 08:53:46.083,SUCCESS,99,0.10
19,18750,4183,213,8285.94,EUR,DEPOSIT,"-14.256488, -50.426797",111.30.234.248,2024-09-05 21:48:46.097,SUCCESS,10,0.32
20,15013,4153,NULL,6683.40,CHF,DEPOSIT,"73.212762, -106.033585",24.177.132.212,2025-03-27 11:36:46.107,SUCCESS,49,0.68
21,23237,59,NULL,3356.96,EUR,WITHDRAWAL,"36.293320, -81.116907",234.247.239.113,2025-11-04 20:30:46.123,SUCCESS,33,0.31
22,20407,3350,1465,8086.00,CHF,PAYMENT,"72.145400, -169.978387",247.34.8.238,2025-07-09 01:29:46.137,SUCCESS,70,0.58
23,16901,1327,NULL,8647.72,GBP,TRANSFER,"-47.463102, -79.993670",157.57.161.176,2025-07-11 01:12:46.147,SUCCESS,84,0.03
24,22361,1676,1992,2922.08,GBP,WITHDRAWAL,"-44.363664, 20.953643",135.79.186.96,2024-03-31 14:01:46.160,SUCCESS,44,0.24
25,23586,4344,1854,8258.45,CHF,TRANSFER,"76.604488, -161.282273",84.65.174.94,2025-11-06 06:35:46.167,SUCCESS,80,0.58
26,3422,3709,NULL,7747.75,EUR,DEPOSIT,"-31.099318, -89.238285",78.168.44.198,2025-08-18 15:01:46.177,SUCCESS,19,0.99
27,7547,4448,375,1659.34,CHF,WITHDRAWAL,"23.875530, -86.916813",207.34.240.78,2024-06-18 17:25:46.187,SUCCESS,31,0.49
28,20220,3104,1849,3586.28,GBP,TRANSFER,"-83.216496, -85.326104",24.100.182.182,2024-11-19 21:23:46.193,SUCCESS,74,0.34
29,20745,4620,3182,15.44,USD,TRANSFER,"20.195357, 166.947351",167.237.91.173,2026-01-20 11:38:46.207,SUCCESS,75,0.71
30,15052,4302,NULL,5591.79,CHF,DEPOSIT,"3.075707, 32.677726",30.71.249.147,2024-07-07 00:02:46.217,SUCCESS,20,0.49
31,22404,4679,341,5173.89,CHF,TRANSFER,"-74.717955, 11.216345",31.120.13.241,2025-08-25 23:43:46.230,SUCCESS,0,0.47
32,23128,765,2999,7269.07,CHF,PAYMENT,"70.736987, 111.859191",119.217.27.251,2025-02-12 21:41:46.240,SUCCESS,56,0.26
33,17682,4131,1302,8339.55,CHF,PAYMENT,"-77.196170, -149.233739",244.126.110.205,2025-04-03 03:32:46.250,SUCCESS,2,0.97
34,21429,1355,1597,8761.62,USD,PAYMENT,"61.913034, -98.009761",78.171.140.246,2024-06-21 18:30:46.263,SUCCESS,5,0.08
35,23566,1221,NULL,2365.58,CHF,TRANSFER,"16.884502, -89.896170",149.250.184.97,2024-08-16 05:21:46.280,SUCCESS,61,0.89
36,22514,642,1777,5345.02,EUR,WITHDRAWAL,"-6.327513, 163.622483",58.9.220.243,2025-10-24 13:41:46.293,SUCCESS,45,0.28
37,3073,1061,NULL,6817.35,GBP,DEPOSIT,"70.286139, -165.058333",185.249.156.103,2024-10-24 11:01:46.310,SUCCESS,39,0.15
38,20355,4910,4632,5360.14,GBP,TRANSFER,"-52.718068, 110.489502",233.34.75.222,2025-10-09 19:32:46.320,FAILED,20,0.96
39,17399,3335,4545,4326.21,CHF,TRANSFER,"40.281106, 119.980086",213.48.4.162,2024-03-19 03:15:46.337,SUCCESS,45,0.45
40,1713,203,NULL,9973.18,CHF,TRANSFER,"-75.907987, 142.398410",118.4.102.170,2025-02-16 19:32:46.350,SUCCESS,30,0.83
41,13796,788,4511,5863.77,USD,TRANSFER,"77.821698, 55.087368",110.237.240.216,2025-06-10 06:33:46.363,SUCCESS,0,0.72
42,16754,3477,NULL,2107.25,EUR,PAYMENT,"58.138715, -0.813119",32.206.195.141,2025-06-12 18:06:46.383,SUCCESS,99,0.52
43,16567,4010,NULL,8945.10,EUR,TRANSFER,"42.264087, 56.039591",193.22.199.140,2025-01-16 17:23:46.400,SUCCESS,47,0.38
44,22405,3802,3099,4770.74,CHF,PAYMENT,"-33.964077, -138.541033",114.177.46.26,2025-12-02 18:22:46.413,SUCCESS,27,0.86
45,15237,3823,NULL,1071.83,USD,PAYMENT,"-22.816575, -67.388377",113.133.133.173,2024-03-28 22:37:46.427,SUCCESS,81,0.95
46,19062,4688,NULL,2389.97,GBP,DEPOSIT,"70.328493, 88.847763",148.228.228.107,2024-10-14 19:42:46.443,SUCCESS,14,0.58
47,23455,4541,NULL,8279.07,GBP,WITHDRAWAL,"-25.315959, -84.168139",62.225.173.247,2025-12-19 13:25:46.460,SUCCESS,77,0.79
48,16752,2239,2149,9192.88,CHF,DEPOSIT,"-47.138494, 162.470394",132.253.90.139,2025-12-23 19:27:46.473,SUCCESS,1,0.22
49,22518,4822,1822,6958.40,CHF,TRANSFER,"-38.364143, -140.104907",244.124.83.193,2024-09-12 04:33:46.490,SUCCESS,67,0.05
50,18660,4504,3369,7053.57,EUR,DEPOSIT,"61.560009, -173.616089",196.155.197.138,2025-03-03 16:02:46.503,SUCCESS,59,0.08
51,21046,3929,NULL,6872.86,EUR,WITHDRAWAL,"12.633344, -145.508353",4.82.81.205,2024-11-26 10:38:46.517,FAILED,69,0.94
52,10204,2680,4427,5241.89,EUR,WITHDRAWAL,"23.309729, 59.623973",88.85.190.57,2025-10-10 13:20:46.527,SUCCESS,24,0.26
53,18696,4718,NULL,2018.03,USD,DEPOSIT,"-43.639258, 134.560480",118.188.51.187,2025-04-30 08:29:46.540,FAILED,73,0.60
