id,user_id,role_id
1,3128,9160
2,9522,9297
3,2902,6976
4,7531,8873
5,7944,3844
6,1922,6230
7,3807,3913
8,5266,5420
9,3407,4704
10,5756,3667
11,4362,1667
12,4242,299
13,8180,4913
14,86,2347
15,7362,7497
16,6299,583
17,8498,8531
18,3270,1352
19,1543,7239
20,6818,4168
21,9601,518
22,6062,750
23,8957,782
24,9900,4334
25,2940,2734
26,5653,3821
27,4169,9039
28,9296,4590
29,7747,4370
30,6115,6474
31,6546,3197
32,3491,1566
33,6388,2922
34,9366,2757
35,8813,736
36,3815,5850
37,7035,4219
38,8075,2111
39,3796,9416
40,8895,6102
41,5465,4309
42,837,5821
43,1049,5506
44,508,6874
45,77,87
46,7630,6490
47,6762,8718
48,2207,1010
49,7564,2504
50,8406,6961
51,9953,7826
52,134,8880
53,904,4249
54,5781,5379
55,769,6658
56,2365,8513
57,833,971
58,6877,1449
59,3031,9264
60,6377,8867
61,6952,8208
62,3873,1401
63,723,1491
64,4047,7324
65,4755,6720
66,4916,3847
67,5202,1039
68,842,3295
69,9743,4272
70,3045,9089
71,6411,7395
72,7413,5897
73,6194,7756
74,2201,1281
75,5071,1097
76,8207,1273
77,8624,2905
78,438,368
79,4268,7135
80,1989,750
81,8489,5428
82,5964,6972
83,7533,9320
84,9605,2284
85,3486,7444
86,7513,2118
87,6654,5072
88,4694,6964
89,1954,4174
90,9220,2593
91,2470,5624
92,936,3295
93,4228,3325
94,9006,429
95,2000,3760
96,768,4007
97,6926,9419
98,5889,4191
99,5991,4758
100,1648,5329
101,1199,7672
102,423,8825
103,1383,6177
104,8465,5081
105,137,3616
106,1801,3070
107,5742,3504
108,7028,4642
109,389,5019
110,4545,825
111,4140,3614
112,7966,2573
113,8494,7697
114,4095,8619
115,4085,9803
116,4902,6345
117,8899,8926
118,1843,3615
119,3078,451
120,5609,6358
121,2794,6211
122,5722,6141
123,3639,2548
124,4711,8682
125,3685,548
126,1162,4374
127,3226,1035
128,7101,1674
129,4232,6926
130,8323,6379
131,7161,979
132,9583,787
133,8559,654
134,3791,2203
135,6826,685
136,6536,6969
137,2261,3000
138,9999,9627
139,7286,3794
140,3499,1625
141,3522,1772
142,8159,1442
143,3484,6583
144,6971,539
145,4799,6304
146,3457,7924
147,9555,7
148,2439,9713
149,6581,1830
150,4269,6119
151,3317,2872
152,9019,9148
153,7086,3751
