whitelist_id,user_id,merchant_id,reason
1,NULL,999,Trusted merchant: 999
2,1545,2909,Trusted user 1545 and merchant 2909
3,NULL,3933,Trusted merchant: 3933
4,246,4978,Trusted user 246 and merchant 4978
5,NULL,2986,Trusted merchant: 2986
6,7365,NULL,Trusted user: 7365
7,6121,NULL,Trusted user: 6121
8,5620,626,Trusted user 5620 and merchant 626
9,9308,NULL,Trusted user: 9308
10,2685,NULL,Trusted user: 2685
11,8044,NULL,Trusted user: 8044
12,NULL,3210,Trusted merchant: 3210
13,4782,3017,Trusted user 4782 and merchant 3017
14,7400,NULL,Trusted user: 7400
15,NULL,2595,Trusted merchant: 2595
16,NULL,1501,Trusted merchant: 1501
17,1194,3924,Trusted user 1194 and merchant 3924
18,NULL,1184,Trusted merchant: 1184
19,NULL,1228,Trusted merchant: 1228
20,3304,NULL,Trusted user: 3304
21,6485,NULL,Trusted user: 6485
22,3078,NULL,Trusted user: 3078
23,NULL,1356,Trusted merchant: 1356
24,4598,NULL,Trusted user: 4598
25,NULL,3325,Trusted merchant: 3325
26,NULL,2936,Trusted merchant: 2936
27,NULL,603,Trusted merchant: 603
28,9160,NULL,Trusted user: 9160
29,8043,NULL,Trusted user: 8043
30,NULL,2337,Trusted merchant: 2337
31,NULL,1994,Trusted merchant: 1994
32,NULL,2347,Trusted merchant: 2347
33,NULL,848,Trusted merchant: 848
34,8223,995,Trusted user 8223 and merchant 995
35,234,NULL,Trusted user: 234
36,7768,NULL,Trusted user: 7768
37,3215,NULL,Trusted user: 3215
38,8353,NULL,Trusted user: 8353
39,6746,NULL,Trusted user: 6746
40,NULL,1268,Trusted merchant: 1268
41,NULL,4905,Trusted merchant: 4905
42,7697,NULL,Trusted user: 7697
43,43,3641,Trusted user 43 and merchant 3641
44,NULL,1210,Trusted merchant: 1210
45,8884,NULL,Trusted user: 8884
46,NULL,384,Trusted merchant: 384
47,4069,NULL,Trusted user: 4069
48,4921,1493,Trusted user 4921 and merchant 1493
49,1548,NULL,Trusted user: 1548
50,9268,NULL,Trusted user: 9268
51,5746,NULL,Trusted user: 5746
52,6226,NULL,Trusted user: 6226
53,NULL,4610,Trusted merchant: 4610
54,NULL,4884,Trusted merchant: 4884
55,4694,2122,Trusted user 4694 and merchant 2122
56,9643,NULL,Trusted user: 9643
57,NULL,478,Trusted merchant: 478
58,1693,NULL,Trusted user: 1693
59,2316,244,Trusted user 2316 and merchant 244
60,3503,NULL,Trusted user: 3503
61,NULL,1003,Trusted merchant: 1003
62,9599,2262,Trusted user 9599 and merchant 2262
63,NULL,1720,Trusted merchant: 1720
64,1677,NULL,Trusted user: 1677
65,1916,NULL,Trusted user: 1916
66,6723,NULL,Trusted user: 6723
67,5828,1483,Trusted user 5828 and merchant 1483
68,NULL,3939,Trusted merchant: 3939
69,NULL,2432,Trusted merchant: 2432
70,NULL,1858,Trusted merchant: 1858
71,1194,NULL,Trusted user: 1194
72,2597,NULL,Trusted user: 2597
73,NULL,2587,Trusted merchant: 2587
74,NULL,1178,Trusted merchant: 1178
75,NULL,4466,Trusted merchant: 4466
76,7971,NULL,Trusted user: 7971
77,NULL,3396,Trusted merchant: 3396
78,4297,NULL,Trusted user: 4297
79,2607,NULL,Trusted user: 2607
80,NULL,2053,Trusted merchant: 2053
81,7540,NULL,Trusted user: 7540
82,7655,NULL,Trusted user: 7655
83,8071,NULL,Trusted user: 8071
84,2511,1841,Trusted user 2511 and merchant 1841
85,1709,NULL,Trusted user: 1709
86,NULL,487,Trusted merchant: 487
87,NULL,2346,Trusted merchant: 2346
88,4227,196,Trusted user 4227 and merchant 196
89,3663,NULL,Trusted user: 3663
90,NULL,3215,Trusted merchant: 3215
91,NULL,1571,Trusted merchant: 1571
92,1089,2985,Trusted user 1089 and merchant 2985
93,NULL,452,Trusted merchant: 452
94,NULL,459,Trusted merchant: 459
95,NULL,4896,Trusted merchant: 4896
96,4154,NULL,Trusted user: 4154
97,2373,NULL,Trusted user: 2373
98,NULL,2042,Trusted merchant: 2042
99,NULL,8,Trusted merchant: 8
100,NULL,3323,Trusted merchant: 3323
101,6044,NULL,Trusted user: 6044
102,4106,NULL,Trusted user: 4106
103,NULL,830,Trusted merchant: 830
104,NULL,3027,Trusted merchant: 3027
105,4472,NULL,Trusted user: 4472
106,1586,NULL,Trusted user: 1586
107,4149,3821,Trusted user 4149 and merchant 3821
108,6532,NULL,Trusted user: 6532
109,5874,NULL,Trusted user: 5874
110,7886,856,Trusted user 7886 and merchant 856
